ID	City	State	Latitude	Longitude	MeanAnnual Temperature	MeanAnnualPrecipitation	NetPrimaryProductivity	Elevation	Residence	NumberBedroooms
37	Amherst	MA	42.3	-72.5	8.512844037	94.40588685	2.191815567	198.4830627	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
38	Littleton	CO	39.6	-105.0	6.594877676	32.73715596	0.430572381	2119.006104	One-family house detached from any other house	4
39	Cincinnati	OH	39.1	-84.4	11.8	81.8867737	1.131284071	239.0194397	One-family house detached from any other house	3
40	Charles Town	WV	39.3	-77.9	12.68478593	84.65328746	1.19715324	163.789444	One-family house detached from any other house	3
41	Troy	NY	42.8	-73.7	8.571865443	80.23876147	2.103043601	122.0966644	Duplex or two-family house (designed for two families)	3
42	EDMOND	OK	35.6	-97.5	16.20550459	71.10703364	0.639725923	313.6911011	One-family house detached from any other house	3
43	FAIRFIELD	IL	38.4	-88.4	13.21796636	87.52683486	1.065225621	126.6911087	One-family house detached from any other house	2
44	Jefferson	ME	44.2	-69.5	6.671330275	95.28608563	1.977551487	68.29943848	One-family house detached from any other house	2
45	Cape Elizabeth	ME	43.6	-70.2	7.452217125	90.46429664	2.255034821	56.46136093	One-family house detached from any other house	3
46	Red Bank	NJ	40.4	-74.1	11.50688073	97.69892966	1.916603583	30.44665909	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
47	Cleveland	OH	41.5	-81.8	9.56146789	75.65718654	NA	283.1663818	One-family house detached from any other house	4
48	Honolulu	HI	21.3	-157.8	22.55840979	76.67889908	NA	178.6537476	"High rise apartment (multiple units, with 5 or more stories)"	2
49	Thorne Bay 	AK	55.7	-132.5	6.005275229	163.9807339	1.04478347	266.5290222	One-family house detached from any other house	3
50	Reedsville	WV	39.5	-79.8	10.47224771	93.0866208	2.201279529	471.0052795	One-family house detached from any other house	3
51	Dedham	MA	42.2	-71.1	9.388990826	94.63203364	NA	52.88596344	One-family house detached from any other house	2
52	Tucson	AZ	32.2	-111.0	20.41834862	22.03715596	0.306405209	762.9927979	One-family house detached from any other house	3
53	Jersey City	NJ	40.7	-74.1	11.15	97.4837156	2.213204125	60.80302048	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
54	Brooklyn	NY	40.7	-74.0	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	3
55	Tappan	NY	41.0	-73.9	10.60825688	101.411315	2.213204125	127.7934723	One-family house detached from any other house	3
56	Washington	DC	39.0	-77.1	14.01888379	87.26605505	1.81817838	64.78483582	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
57	New York	NY	40.7	-74.0	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
58	Amherst	MA	42.4	-72.5	8.512844037	94.40588685	2.191815567	198.4830627	One-family house detached from any other house	3
59	macon	GA	32.7	-83.7	18.10107034	95.51941896	2.086765599	130.1658325	One-family house detached from any other house	3
60	Glennallen	AK	62.1	-146.4	-2.903669725	38.66727829	0.514801634	728.3925171	One-family house detached from any other house	1
61	New York	NY	40.8	-74.0	11.81796636	92.61200306	2.213204125	23.8580265	"High rise apartment (multiple units, with 5 or more stories)"	2
62	Long Island CIty	NY	40.7	-73.9	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
63	Romney	WV	39.3	-78.8	11.51085627	81.63058104	2.057427327	401.2008362	One-family house detached from any other house	4
65	Brooklyn	NY	40.7	-74.0	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
66	Portland	ME	43.7	-70.3	7.452217125	90.46429664	2.157556027	56.46136093	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
67	Jackson Heights	NY	40.7	-73.9	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
68	Brooklyn	NY	40.7	-74.0	11.81796636	92.61200306	2.213204125	23.8580265	One-family house attached to one or more houses (e.g. a townhouse or condominium)	1
70	Reno	NV	39.4	-119.6	7.274770642	39.70099388	0.299023321	1835.525024	One-family house detached from any other house	3
71	Albuquerque	NM	35.2	-106.6	10.76146789	26.16360856	0.532404604	1708.676392	One-family house detached from any other house	3
72	boise	ID	43.6	-116.2	9.471559633	35.03555046	0.585970623	1087.946655	One-family house detached from any other house	4
73	pawtucket	RI	41.9	-71.4	9.993501529	93.25229358	2.145063591	30.41094589	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
74	Cable	WI	46.2	-91.1	4.761009174	56.45	2.052127496	398.8336182	One-family house detached from any other house	4
75	Janesville	CA	40.3	-120.5	9.422706422	34.1074159	0.355428528	1461.269775	One-family house detached from any other house	3
76	moselle	MS	31.5	-89.4	18.38256881	119.1644495	2.133517574	89.10722351	One-family house detached from any other house	3
77	Washington	DC	38.9	-77.0	14.01888379	87.26605505	1.81817838	64.78483582	One-family house attached to one or more houses (e.g. a townhouse or condominium)	4
78	Chicken	AK	64.1	-141.8	-6.927675841	14.16506116	0.52407632	790.1705322	One-family house detached from any other house	1
79	Pikeville	NC	35.5	-78.1	15.43333333	101.2742355	1.19734252	71.52583313	One-family house detached from any other house	3
81	Albuquerque	NM	35.1	-106.6	10.76146789	26.16360856	0.621555117	1708.676392	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
82	Raleigh	NC	35.8	-78.7	15.40512232	94.05412844	1.698932469	96.75722504	One-family house detached from any other house	3
83	Raleigh	NC	35.8	-78.7	15.40512232	94.05412844	1.698932469	96.75722504	"Low rise apartment (multiple units, with 4 or fewer stories)"	6 or more
84	Raleigh	NC	35.8	-78.7	15.40512232	94.05412844	1.698932469	96.75722504	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
85	Raleigh	NC	35.8	-78.7	15.40512232	94.05412844	1.698932469	96.75722504	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
86	Cary	NC	35.8	-78.8	15.40512232	94.05412844	1.698932469	96.75722504	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
88	Bowman	SC	33.4	-80.7	18.16391437	98.39495413	2.034335257	37.77555466	One-family house detached from any other house	3
89	Cary	NC	35.7	-78.8	15.40512232	94.05412844	1.698932469	96.75722504	One-family house detached from any other house	5
90	Houston	TX	29.7	-95.4	20.45542813	93.55756881	2.567534829	14.17661858	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
93	Arlington Heights	IL	42.1	-88.0	9.173165138	70.7617737	NA	189.6425018	One-family house detached from any other house	4
94	Bala Cynwyd	PA	40.0	-75.2	10.94327217	95.8601682	1.236334048	100.8869476	One-family house detached from any other house	3
95	Washington	IL	40.7	-89.4	10.37446483	73.36498471	0.902445487	217.1658325	One-family house detached from any other house	2
96	Durham	NC	36.0	-78.9	15.40512232	94.05412844	1.698932469	96.75722504	One-family house detached from any other house	3
97	Annapolis	MD	39.0	-76.5	13.6970948	90.40053517	1.377914896	37.22084808	Duplex or two-family house (designed for two families)	1
100	albuquerque	NM	35.1	-106.7	10.76146789	26.16360856	0.281041793	1708.676392	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
101	Atlanta	GA	33.8	-84.3	16.65221713	102.9034404	2.095661718	274.2244568	One-family house detached from any other house	2
102	Jamaica Plain	MA	42.3	-71.1	9.388990826	94.63203364	NA	52.88596344	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
105	Toledo	OH	41.7	-83.6	9.431498471	68.23279817	1.094374625	204.7986145	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
106	Huntsville	AL	34.7	-86.7	15.94151376	114.7675076	1.581957906	220.6450043	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
107	Detroit	MI	42.3	-83.1	9.307874618	67.98195719	1.139612358	191.672226	"High rise apartment (multiple units, with 5 or more stories)"	1
109	New York	NY	40.8	-74.0	11.81796636	92.61200306	2.213204125	23.8580265	"High rise apartment (multiple units, with 5 or more stories)"	1
110	Vallejo	MN	38.1	-122.3	14.24908257	60.2470948	1.87041945	143.1794128	One-family house detached from any other house	5
111	Independence	MO	39.1	-94.4	12.30718654	76.87125382	1.040240765	263.6844482	One-family house detached from any other house	4
112	Brighton	MA	42.3	-71.2	9.388990826	94.63203364	1.966573293	52.88596344	"High rise apartment (multiple units, with 5 or more stories)"	1
113	seattle	WA	47.7	-122.3	11.1014526	79.94380734	2.608986975	84.25081635	One-family house detached from any other house	4
114	washington	DC	39.0	-77.1	14.01888379	87.26605505	1.81817838	64.78483582	"High rise apartment (multiple units, with 5 or more stories)"	1
115	Somerville	MA	42.4	-71.1	9.388990826	94.63203364	NA	52.88596344	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
118	Fremont	NC	35.6	-78.0	15.61567278	103.8310398	1.19734252	29.16361046	One-family house detached from any other house	5
119	King 	NC	36.4	-80.3	14.2883792	90.05229358	2.390558752	275.8555603	One-family house detached from any other house	3
121	Seattle	WA	47.6	-122.3	11.1014526	79.94380734	2.608986975	84.25081635	One-family house attached to one or more houses (e.g. a townhouse or condominium)	1
123	Wichita	KS	37.7	-97.5	13.80764526	65.90351682	0.809509391	409.2113953	One-family house detached from any other house	4
124	Dallas	TX	32.9	-96.8	18.8132263	75.17469419	0.778656872	155.8502808	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
125	Buford	GA	34.1	-84.1	15.46788991	117.6438073	1.810607209	355.3460999	One-family house detached from any other house	4
127	Arlington	VA	38.9	-77.1	14.01888379	87.26605505	1.81817838	64.78483582	One-family house detached from any other house	6 or more
128	Wheat Ridge	CO	39.8	-105.1	6.594877676	32.73715596	0.720737433	2119.006104	One-family house detached from any other house	4
129	Bethlehem	PA	40.6	-75.4	9.728287462	96.59143731	2.212825568	179.5874939	One-family house detached from any other house	3
131	Garner	NC	35.7	-78.6	15.40512232	94.05412844	2.156420352	96.75722504	One-family house detached from any other house	3
132	Fremont	CA	37.5	-121.9	13.85175841	44.68448012	1.116520292	247.8677826	One-family house detached from any other house	4
133	Washburn	WI	45.9	-91.8	5.420183486	55.36536697	1.707260746	374.1994324	One-family house detached from any other house	3
134	Chicago	IL	41.7	-87.7	9.759174312	71.12874618	NA	193.5566711	One-family house detached from any other house	3
135	Boise	ID	43.5	-116.3	9.471559633	35.03555046	0.585970623	1087.946655	One-family house detached from any other house	3
136	Georgetown	KY	38.2	-84.6	12.66391437	90.56704893	1.379807691	245.2419434	One-family house detached from any other house	3
137	Littleton	CO	39.6	-105.1	6.594877676	32.73715596	0.793231381	2119.006104	One-family house detached from any other house	2
138	Elizabethtown	KY	37.7	-85.8	13.46330275	99.27347095	1.15077983	202.3319397	One-family house detached from any other house	2
139	Bozeman	MT	45.6	-111.0	6.116437309	36.17744648	0.632911872	1528.734985	One-family house detached from any other house	3
140	Dallas	TX	33.0	-96.8	18.8132263	75.17469419	0.778656872	155.8502808	One-family house detached from any other house	4
141	Waldron	WA	48.8	-122.5	9.857798165	63.85282875	1.958244997	60.28440475	One-family house detached from any other house	2
142	Columbia	MO	38.9	-92.3	12.78172783	79.97920489	1.027937615	221.4455566	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
143	Chico	CA	39.7	-121.8	14.7559633	71.67958716	1.623220774	300.1264038	One-family house detached from any other house	4
144	Efland	NC	36.0	-79.2	14.44793578	93.73470948	1.297092668	190.2480621	One-family house detached from any other house	3
145	Ankeny	IA	41.7	-93.6	9.632492355	67.21873089	0.791527867	290.4547119	One-family house detached from any other house	5
146	Merced	CA	37.3	-120.5	16.72262997	27.45076453	1.708017869	140.3577728	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
147	Shallotte	NC	34.0	-78.4	17.44082569	110.7892202	3.703020897	14.0047226	One-family house detached from any other house	3
148	Raleigh 	NC	35.8	-78.7	15.40512232	94.05412844	1.698932469	96.75722504	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
150	Oldenburg	IN	39.4	-85.2	11.38394495	87.39984709	1.071850393	282.6941528	One-family house detached from any other house	4
151	Eugene	OR	44.0	-123.1	11.24938838	101.1090214	1.340248341	161.2072296	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
152	Hoquiam	WA	47.0	-123.9	9.770107034	166.9626911	2.655549664	111.3550644	One-family house detached from any other house	3
153	Mannington	WV	39.5	-80.4	10.84633028	94.14067278	2.112318287	368.5216675	One-family house detached from any other house	2
154	kuna	ID	43.5	-116.4	10.63478593	23.12171254	0.585970623	910.3635864	One-family house detached from any other house	3
155	Durham	NC	35.9	-78.9	15.40512232	94.05412844	1.698932469	96.75722504	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
158	Fuquay varina	NC	35.6	-78.8	15.40512232	94.05412844	1.824235313	96.75722504	One-family house detached from any other house	3
160	Chicago	IL	41.9	-87.7	9.759174312	71.12874618	NA	193.5566711	One-family house detached from any other house	4
161	Beaverton	OR	45.5	-122.8	11.17729358	90.90749235	1.927392495	96.17082977	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
162	Pittsboro	NC	35.8	-79.1	14.88906728	97.33899083	1.698932469	136.7336121	One-family house detached from any other house	3
163	El Cerrito	CA	37.9	-122.3	14.09617737	41.10183486	1.87041945	115.6696014	One-family house detached from any other house	2
164	Charlotte	NC	35.3	-80.9	16.00198777	93.89120795	1.29519988	201.6608276	One-family house detached from any other house	3
165	gainesville	TX	33.6	-97.1	17.60772171	75.34334862	0.744018775	259.4522095	One-family house detached from any other house	3
166	Westwood	CA	40.3	-121.0	7.812538226	80.65206422	0.743072384	1652.897461	One-family house detached from any other house	3
167	Mountain View	MO	37.0	-91.7	14.34892966	90.01062691	1.762719565	300.2277832	One-family house detached from any other house	2
168	Raleigh	NC	35.8	-78.7	15.40512232	94.05412844	1.698932469	96.75722504	One-family house detached from any other house	2
170	Knoxviile	TN	36.1	-83.9	13.64006116	100.1743884	1.977740765	374.2161255	One-family house detached from any other house	3
171	Alameda	CA	37.8	-122.3	14.09617737	41.10183486	1.87041945	115.6696014	"High rise apartment (multiple units, with 5 or more stories)"	2
172	Upland	CA	34.1	-117.7	11.98409786	47.55840979	1.13715173	1048.727539	One-family house detached from any other house	5
173	Ithaca	NY	42.5	-76.5	8.153975535	75.55611621	1.517035135	389.7213745	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
174	Maple Valley	WA	47.3	-122.0	11.17285933	85.4941896	2.014082378	144.7330322	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
175	Clark	CO	40.8	-107.0	1.492584098	37.09388379	0.482245612	2724.314941	One-family house detached from any other house	3
176	Las Vegas	NV	36.2	-115.3	17.15512232	11.21391437	0.206655058	991.2583618	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
177	Los Alamos	NM	35.9	-106.3	9.011009174	30.50657492	0.324008179	2032.495239	One-family house detached from any other house	2
178	Winston Salem	NC	36.0	-80.3	14.2883792	90.05229358	2.060455779	275.8555603	One-family house detached from any other house	2
179	pensacola	FL	30.5	-87.2	19.70512232	128.8840979	2.464377652	45.30992508	One-family house detached from any other house	4
180	Brookline	MA	42.3	-71.1	9.388990826	94.63203364	NA	52.88596344	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
182	Holly Springs	NC	35.6	-78.8	15.40512232	94.05412844	1.824235313	96.75722504	One-family house detached from any other house	3
183	De Kalb	TX	33.5	-94.6	17.47477064	102.9615443	1.893132945	115.1791687	One-family house detached from any other house	3
185	Woburn	MA	42.5	-71.2	9.388990826	94.63203364	1.966573293	52.88596344	One-family house detached from any other house	4
186	Douglas City	CA	40.7	-122.9	10.88761468	84.51261468	1.460251367	1008.835266	A mobile home	2
187	Bremerton	WA	47.6	-122.6	10.28356269	89.03990826	2.333964267	162.8851624	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
188	Parker	CO	39.5	-104.7	8.093119266	30.59762997	0.430572381	2101.099365	One-family house detached from any other house	3
189	Charlottesville	VA	38.0	-78.5	12.62285933	80.3851682	1.514006662	400.1588745	One-family house detached from any other house	4
190	Cary	NC	35.8	-78.9	15.40512232	94.05412844	1.698932469	96.75722504	One-family house detached from any other house	2
191	Holly Springs	NC	35.6	-78.8	15.40512232	94.05412844	1.824235313	96.75722504	One-family house detached from any other house	4
192	Manville	NJ	40.5	-74.6	9.860703364	99.49067278	NA	165.7169495	Duplex or two-family house (designed for two families)	2
193	Durham	NC	36.0	-78.9	14.54518349	92.76712538	1.698932469	137.7061157	One-family house detached from any other house	4
194	Washington	NC	35.5	-77.0	15.74105505	103.4383028	1.708207147	13.31333351	One-family house detached from any other house	3
195	Zebulon	NC	35.9	-78.3	15.43333333	101.2742355	2.156420352	71.52583313	One-family house detached from any other house	3
196	Baltimore	MD	39.3	-76.6	12.43012232	89.19495413	1.302771058	92.84095764	"High rise apartment (multiple units, with 5 or more stories)"	1
197	Madison	WI	43.1	-89.4	7.432874618	66.84411315	1.038347971	284.4916687	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
198	Conway	SC	33.9	-79.1	17.80917431	100.6870795	1.655966085	10.27466393	One-family house detached from any other house	3
199	Portland	OR	45.5	-122.6	10.72392966	91.80917431	1.927392495	120.6025009	One-family house detached from any other house	3
200	Dothan	AL	31.1	-85.4	18.93019878	121.8313456	1.257154754	72.73444366	A mobile home	3
201	Durham	NC	36.0	-78.9	15.40512232	94.05412844	1.698932469	96.75722504	One-family house detached from any other house	3
202	Naperville	IL	41.8	-88.2	9.353211009	74.33493884	1.097781639	214.6983337	One-family house detached from any other house	4
203	Raleigh	NC	35.8	-78.7	15.40512232	94.05412844	1.698932469	96.75722504	One-family house detached from any other house	3
204	ph	PA	39.9	-75.2	12.40282875	91.6633792	1.236334048	25.62282181	One-family house attached to one or more houses (e.g. a townhouse or condominium)	6 or more
205	CEDAR GROVE	NC	36.2	-79.1	14.44793578	93.73470948	2.011053903	190.2480621	One-family house detached from any other house	2
206	Cherry Hill	NJ	39.9	-75.0	12.05818043	94.8633792	1.464604782	22.87888908	One-family house detached from any other house	4
208	Cottonwood	CA	40.3	-122.4	16.75902141	58.58707951	1.407063904	181.367218	One-family house detached from any other house	1
209	Wilmington	NC	34.2	-77.9	17.57576453	113.565367	2.933790122	6.412473679	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
210	White Haven	PA	41.1	-75.8	8.634938838	85.03348624	2.142602974	424.4169312	One-family house detached from any other house	3
211	hershey	PA	40.3	-76.7	10.84579511	84.23723242	1.714264089	164.0541687	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
212	Chicago	IL	41.9	-87.7	9.759174312	71.12874618	NA	193.5566711	One-family house attached to one or more houses (e.g. a townhouse or condominium)	4
213	Randolph	NE	42.4	-97.4	8.840672783	51.49770642	0.971910968	502.4716797	One-family house detached from any other house	2
214	California	MD	38.3	-76.5	14.05825688	92.97469419	1.480693521	20.28196335	One-family house detached from any other house	4
215	Canonsburg	PA	40.3	-80.2	10.53746177	86.09044343	1.754769841	345.6836243	One-family house detached from any other house	2
216	Richmond	IN	39.8	-84.9	10.77943425	83.16314985	0.926483949	313.1816711	One-family house detached from any other house	4
217	Charleston	WV	38.4	-81.7	12.77094801	90.53218654	1.867201694	299.3794556	One-family house detached from any other house	3
218	Cedar Rapids	IA	42.0	-91.6	8.786391437	68.48990826	1.016770145	275.0544434	One-family house detached from any other house	2
219	Duarte	CA	34.1	-118.0	11.98409786	47.55840979	1.13715173	1048.727539	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
220	Las Vegas	NV	36.1	-115.3	17.15512232	11.21391437	0.121857966	991.2583618	One-family house detached from any other house	3
222	Greensboro	NC	36.1	-79.8	14.56414373	88.55282875	1.67546184	225.6538849	One-family house detached from any other house	3
224	Mount Airy	NC	36.5	-80.6	11.3808104	92.89434251	2.390558752	695.8827515	One-family house detached from any other house	4
225	Highland	MI	42.7	-83.6	8.57469419	63.89495413	1.098160204	279.9338989	One-family house detached from any other house	3
226	Cedar Hill	TN	36.5	-87.1	14.82522936	106.3435015	1.171221988	194.0680542	One-family house detached from any other house	3
227	Madison	AL	34.7	-86.7	15.94151376	114.7675076	1.581957906	220.6450043	One-family house detached from any other house	4
228	JOHNSTOWN	PA	40.3	-78.9	9.952752294	93.27461774	1.989854635	592.1291504	One-family house detached from any other house	2
230	Stillwater	OK	36.1	-97.1	15.92423547	72.7720948	0.705784373	311.9710999	One-family house detached from any other house	4
231	Bethesda	MD	39.0	-77.1	12.51139144	88.78639144	1.81817838	137.5811157	One-family house detached from any other house	4
232	Merced	CA	37.3	-120.5	16.72262997	27.45076453	1.708017869	140.3577728	One-family house detached from any other house	3
233	Pittsburgh	PA	40.5	-80.0	9.712461774	79.61674312	1.641202297	331.8135986	One-family house detached from any other house	3
234	Maynard	MA	42.4	-71.4	9.388990826	94.63203364	1.966573293	52.88596344	One-family house detached from any other house	1
235	Louisville	KY	38.2	-85.8	13.52308869	93.08256881	1.143208663	181.5480499	One-family house detached from any other house	3
236	Walnut Creek	CA	37.9	-122.1	14.09617737	41.10183486	1.317724109	115.6696014	Duplex or two-family house (designed for two families)	3
237	Flat Rock	NC	35.3	-82.4	14.38103976	113.0635321	2.555799501	448.561676	One-family house detached from any other house	5
238	Denver	CO	39.7	-105.0	8.978746177	29.55221713	0.720737433	1677.784668	One-family house detached from any other house	4
239	Charleston	SC	32.7	-80.0	18.67018349	102.3242355	2.986409751	3.003220558	One-family house detached from any other house	3
240	Washington	DC	38.9	-77.0	13.6970948	90.40053517	1.81817838	37.22084808	Duplex or two-family house (designed for two families)	2
241	Irmo	SC	34.2	-81.2	16.90611621	99.18990826	1.898054209	114.922226	One-family house detached from any other house	4
242	Portland	OR	45.5	-122.6	10.72392966	91.80917431	1.927392495	120.6025009	One-family house detached from any other house	4
243	Livermore	CA	37.7	-121.8	13.85175841	44.68448012	1.317724109	247.8677826	One-family house detached from any other house	4
244	Berwyn Heights	MD	39.0	-76.9	13.6970948	90.40053517	1.81817838	37.22084808	One-family house detached from any other house	2
245	Denver	CO	39.7	-105.0	8.978746177	29.55221713	0.720737433	1677.784668	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
247	Belgium	WI	43.5	-87.8	7.990061162	63.14136086	1.151347664	187.468338	One-family house detached from any other house	3
248	Boulder	CO	40.0	-105.3	7.221100917	32.97201835	0.677392489	1912.255859	One-family house detached from any other house	4
249	South Kent	CT	41.7	-73.4	8.895259939	98.1559633	2.138249549	266.0041809	One-family house detached from any other house	3
250	Boylston	MA	42.3	-71.7	8.581116208	98.13524465	2.157934581	170.2480621	One-family house detached from any other house	3
251	Quakertown	NJ	40.6	-74.9	9.860703364	99.49067278	2.082980009	165.7169495	Duplex or two-family house (designed for two families)	1
252	Durham	NC	35.9	-78.9	15.40512232	94.05412844	1.698932469	96.75722504	One-family house detached from any other house	5
253	Durham	NC	36.0	-79.0	14.44793578	93.73470948	1.698932469	190.2480621	One-family house detached from any other house	3
254	Cheswick	PA	40.6	-79.9	9.798318043	86.92905199	1.641202297	350.2911072	One-family house detached from any other house	3
255	Tewksbury	MA	42.6	-71.2	8.609633028	89.07270642	1.966573293	59.06277847	Duplex or two-family house (designed for two families)	1
256	Los Alamitos	CA	33.8	-118.1	16.55206422	24.44931193	1.13715173	35.27723312	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
257	Edina	MN	44.9	-93.3	7.233333333	59.23409786	0.919291337	284.1616516	One-family house detached from any other house	3
258	Newark	DE	39.6	-75.8	11.8103211	92.14327217	1.691739853	81.75190735	One-family house detached from any other house	4
260	Walhalla	SC	34.7	-83.1	14.95856269	133.0756881	2.484630525	452.480011	One-family house detached from any other house	4
261	Oatman	AZ	35.0	-114.4	17.55420489	13.88570336	0.202112357	1009.482483	One-family house detached from any other house	1
262	Dallas	TX	32.9	-96.7	18.8132263	75.17469419	0.778656872	155.8502808	One-family house detached from any other house	4
263	harrisburg	PA	40.4	-76.8	10.84579511	84.23723242	1.714264089	164.0541687	One-family house detached from any other house	3
264	Brinnon	WA	47.6	-122.9	10.28356269	89.03990826	2.124810721	162.8851624	One-family house detached from any other house	2
265	RALEIGH	NC	35.8	-78.6	15.40512232	94.05412844	2.156420352	96.75722504	One-family house detached from any other house	3
266	SUMMERVILLE	SC	32.9	-80.2	18.57515291	103.1247706	3.342443974	4.99572134	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
267	Lowell	MA	42.6	-71.3	8.609633028	89.07270642	2.227400058	59.06277847	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
268	Richland Center	WI	43.3	-90.4	7.456651376	65.43929664	0.922887645	286.3158264	One-family house detached from any other house	3
